x,y,z,id,group1,group2,group3,group4,group5,group6
34,100,0,34,1.4140227961366e+16,5.7115211349841e+16,1.0726221850454e+17,6.9566306117849e+16,5.5644116335063e+16,1.6871447576922e+16
35,100,0,35,1.4478735008796e+16,5.8481954363236e+16,1.0982990473494e+17,7.1233204321178e+16,5.6978928933099e+16,1.7276490350353e+16
36,100,0,36,1.4813919153802e+16,5.9835288069697e+16,1.123721471553e+17,7.2883418642929e+16,5.8300305352163e+16,1.7677442233908e+16
37,100,0,37,1.5145694699233e+16,6.1174872425029e+16,1.1488835834499e+17,7.4516586559898e+16,5.9607957606182e+16,1.8074216454789e+16
38,100,0,38,1.5473978019047e+16,6.2500373796275e+16,1.1737795436149e+17,7.6132346691067e+16,6.0901599427838e+16,1.8466726782643e+16
39,100,0,39,1.5798687383254e+16,6.3811464677377e+16,1.1984035549493e+17,7.773033918551e+16,6.218094638383e+16,1.8854887565523e+16
40,100,0,40,1.6119742810455e+16,6.510782343797e+16,1.2227498690721e+17,7.9310206088682e+16,6.3445716000116e+16,1.9238613766321e+16
41,100,0,41,1.643706594411e+16,6.6389134103051e+16,1.2468127917388e+17,8.0871591686197e+16,6.4695627894248e+16,1.9617820999598e+16
42,100,0,42,1.6750579949221e+16,6.7655086161241e+16,1.2705866874445e+17,8.2414142824855e+16,6.5930403912336e+16,1.9992425568726e+16
43,100,0,43,1.7060209426531e+16,6.8905374399343e+16,1.2940659833438e+17,8.3937509211242e+16,6.7149768268567e+16,2.0362344503223e+16
44,100,0,44,1.7365880341752e+16,7.0139698760973e+16,1.317245172601e+17,8.5441343688615e+16,6.8353447685532e+16,2.072749559612e+16
45,100,0,45,1.7667519967676e+16,7.1357764227099e+16,1.340118817267e+17,8.6925302493034e+16,6.9541171533974e+16,2.1087797441236e+16
46,100,0,46,1.7965056837298e+16,7.2559280716436e+16,1.362681550763e+17,8.8389045489921e+16,7.0712671970779e+16,2.1443169470192e+16
47,100,0,47,1.8258420706355e+16,7.3743963003752e+16,1.3849280800402e+17,8.9832236392278e+16,7.1867684074326e+16,2.1793531989042e+16
48,100,0,48,1.854754252388e+16,7.4911530654263e+16,1.4068531874724e+17,9.1254542961913e+16,7.3005945976478e+16,2.2138806214379e+16
49,100,0,49,1.8832354409595e+16,7.606170797241e+16,1.4284517325304e+17,9.2655637194972e+16,7.4127198990704e+16,2.2478914308811e+16
50,100,0,50,1.9112789637092e+16,7.7194223963456e+16,1.4497186532774e+17,9.4035195493098e+16,7.5231187735942e+16,2.2813779415708e+16
51,100,0,51,1.9388782621936e+16,7.8308812306434e+16,1.470648967719e+17,9.5392898821454e+16,7.6317660255947e+16,2.3143325693122e+16
52,100,0,52,1.9660268913898e+16,7.9405211337136e+16,1.491237775036e+17,9.6728432854831e+16,7.7386368134e+16,2.346747834683e+16
53,100,0,53,1.9927185192695e+16,8.0483164039914e+16,1.5114802567216e+17,9.8041488112938e+16,7.8437066602879e+16,2.3786163662426e+16
54,100,0,54,2.0189469266637e+16,8.1542418047186e+16,1.531371677642e+17,9.9331760085934e+16,7.9469514650124e+16,2.4099309036437e+16
55,100,0,55,2.0447060073728e+16,8.2582725645662e+16,1.5509073870356e+17,1.0059894935116e+17,8.0483475118636e+16,2.4406843006417e+16
56,100,0,56,2.0699897684778e+16,8.3603843788357e+16,1.5700828194629e+17,1.0184276168194e+17,8.1478714802722e+16,2.4708695280021e+16
57,100,0,57,2.0947923308194e+16,8.4605534111598e+16,1.5888934957162e+17,1.0306290814931e+17,8.2455004539709e+16,2.5004796763025e+16
58,100,0,58,2.1191079296124e+16,8.558756295628e+16,1.6073350236972e+17,1.0425910521724e+17,8.3412119297277e+16,2.5295079586322e+16
59,100,0,59,2.1429309151704e+16,8.6549701392713e+16,1.6254030992688e+17,1.0543107483226e+17,8.4349838256693e+16,2.5579477131871e+16
60,100,0,60,2.1662557537193e+16,8.7491725248483e+16,1.6430935070852e+17,1.0657854450777e+17,8.5267944892115e+16,2.5857924057639e+16
61,100,0,61,2.1890770282785e+16,8.8413415138783e+16,1.6604021214029e+17,1.0770124740382e+17,8.6166227046148e+16,2.6130356321533e+16
62,100,0,62,2.2113894395957e+16,8.9314556498775e+16,1.6773249068776e+17,1.0879892240256e+17,8.7044477001841e+16,2.6396711204362e+16
63,100,0,63,2.2331878071204e+16,9.0194939617539e+16,1.6938579193457e+17,1.0987131418e+17,8.7902491551303e+16,2.665692733184e+16
64,100,0,64,2.2544670700052e+16,9.1054359673266e+16,1.7099973065935e+17,1.1091817327427e+17,8.874007206111e+16,2.6910944695664e+16
65,100,0,65,2.2752222881236e+16,9.1892616769357e+16,1.7257393091147e+17,1.1193925615072e+17,8.9557024534684e+16,2.71587046737e+16
66,100,0,66,2.2954486430982e+16,9.2709515971148e+16,1.7410802608554e+17,1.129343252642e+17,9.0353159671789e+16,2.7400150049296e+16
67,100,0,67,2.3151414393297e+16,9.3504867343003e+16,1.756016589947e+17,1.1390314911856e+17,9.1128292925309e+16,2.7635225029762e+16
68,100,0,68,2.3342961050231e+16,9.427848598556e+16,1.7705448194279e+17,1.1484550232386e+17,9.1882244555443e+16,2.7863875264042e+16
69,100,0,69,2.3529081932041e+16,9.5030192072924e+16,1.7846615679514e+17,1.1576116565117e+17,9.261483968145e+16,2.8086047859608e+16
70,100,0,70,2.3709733827225e+16,9.5759810889648e+16,1.7983635504816e+17,1.1664992608525e+17,9.3325908331073e+16,2.830169139861e+16
71,100,0,71,2.3884874792393e+16,9.6467172867345e+16,1.8116475789749e+17,1.1751157687522e+17,9.4015285487746e+16,2.85107559533e+16
72,100,0,72,2.4054464161934e+16,9.7152113620803e+16,1.8245105630472e+17,1.1834591758332e+17,9.468281113569e+16,2.8713193100764e+16
73,100,0,73,2.4218462557471e+16,9.7814473983478e+16,1.8369495106263e+17,1.1915275413176e+17,9.5328330302996e+16,2.8908955936988e+16
74,100,0,74,2.4376831897065e+16,9.8454100042291e+16,1.8489615285877e+17,1.1993189884786e+17,9.595169310277e+16,2.9097999090275e+16
75,100,0,75,2.4529535404163e+16,9.9070843171605e+16,1.8605438233754e+17,1.2068317050745e+17,9.6552754772433e+16,2.9280278734045e+16
76,100,0,76,2.4676537616276e+16,9.9664560066346e+16,1.8716937016034e+17,1.2140639437662e+17,9.7131375711226e+16,2.9455752599033e+16
77,100,0,77,2.4817804393367e+16,1.0023511277417e+17,1.8824085706412e+17,1.221014022518e+17,9.7687421515993e+16,2.9624379984898e+16
78,100,0,78,2.4953302925945e+16,1.0078236872662e+17,1.8926859391798e+17,1.2276803249822e+17,9.8220763015301e+16,2.9786121771282e+16
79,100,0,79,2.5083001742859e+16,1.0130620076929e+17,1.9025234177787e+17,1.234061300869e+17,9.8731276301928e+16,2.9940940428311e+16
80,100,0,80,2.520687071878e+16,1.0180648719081e+17,1.9119187193929e+17,1.240155466299e+17,9.9218842763785e+16,3.0088800026571e+16
81,100,0,81,2.5324881081372e+16,1.0228311175077e+17,1.9208696598807e+17,1.2459614041416e+17,9.9683349113291e+16,3.0229666246566e+16
82,100,0,82,2.5437005418135e+16,1.0273596370649e+17,1.9293741584893e+17,1.2514777643371e+17,1.0012468741524e+17,3.0363506387668e+16
83,100,0,83,2.5543217682936e+16,1.0316493783852e+17,1.9374302383202e+17,1.2567032642038e+17,1.0054275511322e+17,3.0490289376578e+16
84,100,0,84,2.5643493202209e+16,1.0356993447503e+17,1.9450360267728e+17,1.2616366887291e+17,1.009374550545e+17,3.0609985775301e+16
85,100,0,85,2.5737808680828e+16,1.039508595149e+17,1.9521897559654e+17,1.2662768908461e+17,1.013086955136e+17,3.0722567788653e+16
86,100,0,86,2.5826142207648e+16,1.0430762444958e+17,1.9588897631345e+17,1.2706227916938e+17,1.0165639021438e+17,3.0828009271299e+16
87,100,0,87,2.5908473260718e+16,1.0464014638367e+17,1.9651344910108e+17,1.2746733808624e+17,1.0198045835072e+17,3.0926285734333e+16
88,100,0,88,2.5984782712161e+16,1.0494834805424e+17,1.9709224881727e+17,1.2784277166229e+17,1.0228082460586e+17,3.1017374351413e+16
89,100,0,89,2.6055052832715e+16,1.0523215784887e+17,1.9762524093759e+17,1.2818849261413e+17,1.0255741917037e+17,3.1101253964446e+16
90,100,0,90,2.6119267295948e+16,1.054915098223e+17,1.9811230158598e+17,1.2850442056769e+17,1.0281017775875e+17,3.1177905088835e+16
91,100,0,91,2.6177411182132e+16,1.0572634371189e+17,1.9855331756304e+17,1.2879048207654e+17,1.0303904162463e+17,3.1247309918299e+16
92,100,0,92,2.6229470981782e+16,1.0593660495169e+17,1.9894818637186e+17,1.2904661063858e+17,1.0324395757473e+17,3.1309452329247e+16
