"p","u:0","u:1","u:2","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-351.0867981,-7.123673923,-10.0455567,0,0,1,155,155,100,0
-351.083775,-6.941335494,-10.10044263,0,0,1,156,156,100,0
-351.0809257,-6.755320214,-10.14401033,0,0,1,157,157,100,0
-351.0782577,-6.565827116,-10.17595821,0,0,1,158,158,100,0
-351.0757779,-6.373070707,-10.19599601,0,0,1,159,159,100,0
-351.0734934,-6.177281072,-10.20384614,0,0,1,160,160,100,0
-351.0714106,-5.978703917,-10.19924489,0,0,1,161,161,100,0
-351.0695358,-5.777600547,-10.18194381,0,0,1,162,162,100,0
-351.0678749,-5.57424778,-10.15171087,0,0,1,163,163,100,0
-351.0664335,-5.368937786,-10.10833183,0,0,1,164,164,100,0
-351.0652167,-5.161977863,-10.0516114,0,0,1,165,165,100,0
-351.0642292,-4.953690132,-9.98137451,0,0,1,166,166,100,0
-351.0634752,-4.744411163,-9.897467429,0,0,1,167,167,100,0
-351.0629587,-4.53449153,-9.799758926,0,0,1,168,168,100,0
-351.0626829,-4.324295279,-9.68814132,0,0,1,169,169,100,0
-351.0626507,-4.114199342,-9.562531487,0,0,1,170,170,100,0
-351.0628645,-3.904592859,-9.422871789,0,0,1,171,171,100,0
-351.063326,-3.695876446,-9.26913092,0,0,1,172,172,100,0
-351.0640367,-3.488461387,-9.101304669,0,0,1,173,173,100,0
-351.0649973,-3.282768765,-8.91941658,0,0,1,174,174,100,0
-351.066208,-3.079228535,-8.723518513,0,0,1,175,175,100,0
-351.0676687,-2.878278538,-8.513691092,0,0,1,176,176,100,0
-351.0693785,-2.680363469,-8.290044044,0,0,1,177,177,100,0
-351.0713362,-2.485933799,-8.052716409,0,0,1,178,178,100,0
-351.0735401,-2.295444663,-7.801876639,0,0,1,179,179,100,0
-351.0759878,-2.109354716,-7.537722555,0,0,1,180,180,100,0
-351.0786766,-1.92812496,-7.260481195,0,0,1,181,181,100,0
-351.0816034,-1.752217569,-6.970408511,0,0,1,182,182,100,0
-351.0847647,-1.582094695,-6.667788956,0,0,1,183,183,100,0
-351.0881565,-1.418217278,-6.352934935,0,0,1,184,184,100,0
-351.0917744,-1.26104387,-6.026186128,0,0,1,185,185,100,0
-351.0956139,-1.11102947,-5.687908699,0,0,1,186,186,100,0
-351.0996701,-0.9686243892,-5.338494384,0,0,1,187,187,100,0
-351.1039378,-0.8342731488,-4.978359469,0,0,1,188,188,100,0
-351.1084117,-0.7084134194,-4.607943664,0,0,1,189,189,100,0
-351.1130863,-0.5914750105,-4.227708882,0,0,1,190,190,100,0
-351.1179561,-0.4838789165,-3.83813793,0,0,1,191,191,100,0
-351.1230153,-0.386036426,-3.439733124,0,0,1,192,192,100,0
-351.1282584,-0.2983483006,-3.033014836,0,0,1,193,193,100,0
-351.1336796,-0.2212040283,-2.618519987,0,0,1,194,194,100,0
-351.1392736,-0.1549811572,-2.196800495,0,0,1,195,195,100,0
-351.145035,-0.1000447113,-1.768421695,0,0,1,196,196,100,0
-351.1509586,-0.05674669773,-1.333960739,0,0,1,197,197,100,0
-351.1570396,-0.02542568556,-0.8940049897,0,0,1,198,198,100,0
-351.1632733,-0.006406540676,-0.4491504219,0,0,1,199,199,100,0
-351.1696555,0,0,0,0,1,200,200,100,0
